"","abbr","name"
"1","AK","Alaska"
"31","AL","Alabama"
"98","AR","Arkansas"
"173","AZ","Arizona"
"188","CA","California"
"246","CO","Colorado"
"310","CT","Connecticut"
"319","DC","District of Columbia"
"320","DE","Delaware"
"323","FL","Florida"
"390","GA","Georgia"
"549","HI","Hawaii"
"554","IA","Iowa"
"653","ID","Idaho"
"697","IL","Illinois"
"799","IN","Indiana"
"891","KS","Kansas"
"996","KY","Kentucky"
"1116","LA","Louisiana"
"1180","MA","Massachusetts"
"1194","MD","Maryland"
"1218","ME","Maine"
"1234","MI","Michigan"
"1317","MN","Minnesota"
"1404","MO","Missouri"
"1519","MS","Mississippi"
"1601","MT","Montana"
"1657","NC","North Carolina"
"1757","ND","North Dakota"
"1810","NE","Nebraska"
"1903","NH","New Hampshire"
"1913","NJ","New Jersey"
"1934","NM","New Mexico"
"1967","NV","Nevada"
"1984","NY","New York"
"2046","OH","Ohio"
"2134","OK","Oklahoma"
"2211","OR","Oregon"
"2247","PA","Pennsylvania"
"2314","RI","Rhode Island"
"2319","SC","South Carolina"
"2365","SD","South Dakota"
"2431","TN","Tennessee"
"2526","TX","Texas"
"2780","UT","Utah"
"2809","VA","Virginia"
"2942","VT","Vermont"
"2956","WA","Washington"
"2995","WI","Wisconsin"
"3067","WV","West Virginia"
"3122","WY","Wyoming"
